Type,Teff,Jstet,RMS_60m,LS_Period,LS_SNR,BLS_Period,BLS_SDE,VmKmag,w1mw4mag
MISC,5908.0,-0.06219,0.00304,11.1250976,304.23385,13.00500804,9.35757,1.4270000457762997,2.5399999618530096
RR,4726.60009765625,2.19166,0.01648,0.41419074,3856.42466,0.41419477,8.83228,2.041999816894501,2.1840000152588
ED,3881.0,2.43213,0.03227,0.29267738,800.18814,0.29273133,11.72243,3.7119998931885,3.104999542236291
DSCT,6066.0,-0.43207,0.01144,15.46278222,91.77874,0.14085976,10.09801,1.282000541687001,5.71199989318851
ED,6131.0,0.32827,0.00344,2.5074782,191.77076,1.23535304,10.75492,1.310000419616701,0.8940000534058008
ED,6619.0,2.89567,0.01421,0.95646072,629.06077,3.82777872,8.29817,1.2880001068115998,1.7869997024536204
CST,3271.0,14.34282,0.02431,13.916504,2544.56508,0.10415349,8.58158,5.47800016403198,1.1209998130798304
MISC,4876.0,1.59146,0.00453,14.64901579,1807.66422,0.10415349,8.44922,2.2539997100830007,4.949000358581539
GDOR,3179.0,4.99641,0.01235,23.1946825,16055.39818,11.51974589,8.22203,6.02699947357183,0.1710000038146999
ED,7524.0,14.62637,0.04077,0.67089608,996.19103,1.34224996,12.77843,0.6079998016357386,0.1490001678466797
MISC,3266.0,31.83731,0.05394,13.9168095,2776.91751,0.10409947,8.127,5.500999927520731,0.6149997711181703
EC,6526.0,3.32876,0.03373,0.28517426,4521.52728,0.57095348,11.39533,1.0920000076294,3.3569993972778693
EC,5149.0,0.21726,0.01224,0.14208075,484.15243,0.14195604,8.85412,1.9840011596680007,6.16100025177003
GDOR,5686.0,6.27668,0.00894,0.61577449,727.25843,0.61468223,6.11416,1.671999931335499,3.0260000228881605
DSCT,4036.0,0.0611,0.00211,9.27771,81.46236,0.18118109,9.18471,3.2880001068115288,-0.0699996948242187
DCEP,6175.0,0.64602,0.00871,4.28209508,1486.23425,12.22142791,9.63061,1.4359998703003,2.22399997711177
ED,4247.0,1.28906,0.01778,8.18003912,691.14801,8.5640765,8.92918,2.947999954223601,2.37300014495845
EC,3965.0,0.0594,0.00877,0.12550878,1752.89593,0.12552527,11.35532,3.5160007476807,3.911000251769989
DSCT,7333.0,-0.82106,0.00906,16.37235765,10.20949,0.14792135,8.87033,0.7600002288818004,5.235000610351559
EC,5658.0,7.97092,0.02466,0.18857465,14622.56285,0.18850043,10.22574,1.5620002746582011,0.882999420166021
EC,6661.0,7.78618,0.07919,0.21626744,10885.92591,0.2163461,9.9094,1.0110006332398012,3.3760004043579404
ED,4532.0,-0.04873,0.0029,1.08941237,273.10528,1.08714699,10.78191,2.5659999847411985,1.6209993362427202
CST,5186.0,1.24233,0.01675,14.62736421,78.18818,13.895996,10.10106,1.9500007629394,5.682000160217271
CST,3240.0,13.21021,0.0238,13.916504,3597.23384,0.10420759,8.69006,5.644999504089349,0.4270000457763707
CST,5393.0,4.41241,0.02874,0.17138552,10444.52099,0.34273501,9.52029,1.7700004577637003,2.237000465393111
CST,2932.0,43.97405,0.02801,13.916504,1257.72272,0.10409945,8.77144,6.30700039863585,0.7060000896453897
EC,5654.0,10.80091,0.03111,0.18793801,12313.95589,0.37614662,9.03093,1.7109994888306002,3.8009996414184304
CST,4366.0,5.10758,0.0073,9.59775724,178.1375,13.916748,9.19268,2.779000282287601,2.2320003509521804
RR,5651.0,14.81653,0.15123,0.47987945,3620.99174,0.47952836,6.85126,1.6689996719359996,4.081000328063981
ED,4993.0,9.17773,0.03791,4.48929339,1489.51054,4.51722693,10.06727,2.0830001831055114,0.8100004196166992
RR,6004.0,33.17069,0.0999,0.88360692,4155.30898,0.88226842,10.28715,1.3540000915527308,0.9989995956420898
CST,4030.0,4.39796,0.02497,12.61347,422.84457,12.97740699,10.23347,3.3850002288819,4.30700016021728
EC,4137.0,52.86581,0.0928,0.24181588,3333.04635,0.48299134,9.0997,3.2450008392334,2.265000343322761
DCEP,4229.0,0.16705,0.00379,2.72878608,816.37593,8.21724508,7.72858,3.42700004577636,-0.0910005569458007
ED,4189.0,1.17115,0.04063,0.18882637,2183.22253,0.18885523,11.82857,3.127999305725101,5.835000038147001
EC,5434.0,14.0606,0.0644,0.18445076,14865.35785,0.18451345,9.95972,1.8219995498657011,2.22499942779541
CST,6039.0,-0.31105,0.00038,3.91720197,49.06805,11.51238434,9.12735,1.3520002365112305,1.1020002365112305
RR,4995.0,0.64913,0.02815,0.6354568,562.29992,0.6361189,9.08445,2.132000923156701,5.192999839782729
EC,5567.0,8.80302,0.04428,0.20420402,11900.16964,0.40829451,9.72204,1.7449998855590998,1.80300045013426
ED,6093.0,2.02924,0.02701,0.42236143,650.5057,0.10546746,10.54364,1.166999816894501,2.69499969482424
ED,6226.0,0.48029,0.00703,0.96425372,146.10821,0.96254756,13.84676,1.612000465393001,3.55599975585935
MISC,3424.0,3.84098,0.00613,25.30273455,13769.92331,0.10409945,8.38782,4.815000057220479,0.25
DSCT,3924.0,-0.32151,0.00449,14.64895105,81.95484,0.15452896,9.35101,3.5710000991822,2.417000770568849
CST,6530.0,-0.17415,0.00139,23.19417333,478.97381,0.10426174,7.36557,1.012000083923299,2.018000602722191
CST,6106.0,0.26937,0.00697,0.21560326,334.55997,0.43108333,8.27111,1.2810001373291016,3.5570001602172603
ED,6244.0,3.35724,0.02674,0.25488662,2581.67812,0.51000073,8.67729,1.3470001220703,1.9869995117187305
DCEP,4574.0,3.2199,0.04932,4.97028893,8862.85728,4.96428537,10.18371,2.5170001983643004,3.564000129699739
EC,4368.60009765625,0.36279,0.00244,0.18928808,1505.75314,0.18920369,10.62114,2.788000106811479,-0.0080003738403302
MISC,3583.0,8.69182,0.01542,23.19417333,15659.83532,0.10420759,7.83625,4.300000190734821,0.2360000610351598
RR,5138.0,0.7776,0.03652,0.59093435,485.44899,0.59113935,8.16355,1.993999481201099,5.70499992370601
RR,5952.0,5.53051,0.09818,0.57746095,1465.66576,0.57752769,9.4129,1.3559999465941992,4.81500053405766
MISC,3380.0,7.90207,0.01143,13.916504,2065.58377,0.10409945,8.67715,4.920000076293901,0.3449997901916504
RR,5159.0,-0.03092,0.00172,0.85906228,1110.35143,0.85958969,9.63184,1.9749994277954013,0.9759998321532812
DSCT,7129.0,-1.06186,0.01176,0.17582829,127.29902,0.10393769,8.76548,0.810000419616701,4.685999870300279
RR,4432.0,0.50851,0.00622,0.57625275,948.2284,0.57586959,9.3307,2.6920003890991,1.5489997863769602
EC,4838.0,-0.08455,0.00552,0.16257955,480.97594,0.16254075,10.54951,2.2309999465942987,3.60599994659426
DCEP,6227.240234375,0.09378,0.00266,3.02539326,770.97122,6.00416515,7.68802,1.3710002899169993,1.0859994888306002
ED,5429.0,0.12496,0.0057,0.25131681,408.42598,0.50229836,10.38568,1.9700002670288013,3.18400001525878
ED,6402.0,8.1952,0.01384,0.57778085,3087.3252,1.15684926,10.16632,1.1400003433227504,0.1370000839233398
ED,5400.0,0.75992,0.06531,0.61307531,445.13366,1.22779593,12.0923,1.7639999389647991,5.30800056457516
DSCT,7075.0,0.51396,0.00693,0.13394192,2738.46593,0.13390334,8.4348,0.8939990997313991,2.3439998626709
ED,3611.0,0.30543,0.00923,0.94030432,283.0476,3.75612117,11.2733,4.2070007324219,1.4249992370605291
RR,4120.0,4.02989,0.06975,0.49436959,1925.94723,0.49490477,8.65808,3.2360000610350994,4.28800010681157
ED,6240.0,9.89084,0.04561,0.39591761,2269.42493,0.79174885,10.98484,1.3360004425048704,1.23700046539307
DSCT,3795.0,-1.33855,0.02004,5.79856875,15.67312,0.10608082,9.25297,3.765998840332101,3.046999931335421
DCEP,3623.0,1.79528,0.014,6.9584045,6689.11016,7.06059211,9.94629,4.18100070953369,0.9039993286132812
EC,5738.0,6.28893,0.0758,0.18806499,15013.05099,0.18814691,10.0799,1.6389999389647991,3.56999969482424
ED,4413.0,0.14413,0.01991,0.28142575,127.71335,0.56294386,14.53946,2.715999603271399,5.673999786376919
CST,5838.0,8.67235,0.02487,9.94057821,1256.56036,0.1042076,8.32299,1.432999610900799,5.11100006103516
EC,5322.0,7.31122,0.02401,0.15445959,13212.75776,0.15452899,9.92474,1.92499923706054,1.25599956512451
DSCT,4673.0,-0.69531,0.00811,7.73156083,75.80068,0.12253634,7.56785,2.4800004959107,5.80500030517578
DCEP,5823.0,3.75461,0.07139,4.03385768,10917.32521,8.21724508,9.20341,1.4429998397827006,3.8860006332398
RR,6361.0,7.16784,0.09294,0.61306185,3345.75117,0.61280487,9.49012,1.6190004348755007,4.055999755859329
EC,5188.0,11.15244,0.02601,0.1458753,11944.85641,0.14577198,11.05313,2.02999973297117,0.7290000915527308
RR,5205.0,0.64463,0.01858,0.54305761,889.33714,0.54307036,7.92081,1.9330005645751007,3.874999999999989
RR,5065.0,8.86978,0.08649,0.51163618,2357.94363,0.51129996,8.9401,2.063000679016101,3.6759996414184606
RR,3721.0,0.48422,0.00847,0.47016247,757.95779,0.4705323,7.08078,4.012000083923299,1.1560001373290998
DCEP,6090.0,1.6407,0.01325,5.45757216,8478.09694,5.50955175,9.37627,1.9379997253418004,2.41499996185299
ED,6508.0,2.28983,0.01622,0.48793216,760.60381,0.97670558,11.11622,1.1879997253418004,1.7549991607665802
EC,5659.0,1.43101,0.02204,0.18408478,4723.66446,0.18417471,10.75173,1.6599998474121005,4.61600017547611
RR,5623.0,3.06073,0.01666,0.59727485,2387.60883,0.59818894,9.33327,1.7510004043579013,1.78800010681147
DSCT,5363.0,-0.01466,0.00932,0.12939567,1107.8861,0.25875491,7.92222,1.7950000762938991,4.317999839782749
RR,6469.0,31.22313,0.18631,0.61578801,2525.83105,0.61657173,8.59267,1.0449991226196005,2.26099967956546
DCEP,6528.0,0.99408,0.02108,2.72878608,1521.56015,2.69618842,9.0101,1.0130004882812005,3.9349994659424095
EC,5878.0,1.0614,0.02509,0.17715124,2303.11673,0.3542252,10.74531,1.4849996566772994,4.633000373840359
DSCT,6349.0,-0.59969,0.01433,6.62690667,72.80772,0.10710005,7.74713,1.1120004653931002,5.76800060272212
GDOR,5582.0,3.2137,0.00554,1.06232855,870.32509,4.23140269,7.35875,1.6110000610350994,2.4230003356933896
EC,4917.0,-0.09924,0.00328,0.11062404,1607.04124,0.11058266,9.90887,2.211000442504901,3.18599987030027
EC,5454.0,6.09267,0.05015,0.1860536,11373.01219,0.3719627,10.3525,1.7750005722046005,3.0489997863769998
ED,4149.0,0.34828,0.01576,0.42722171,247.00316,0.85224668,12.25757,3.097999572753899,3.6740007400513
RR,5719.0,0.34121,0.00911,0.49881036,822.09401,0.49859465,8.2128,1.6230001449585014,3.46099948883052
MISC,4993.0,3.43457,0.00646,9.91062679,354.9709,0.10409712,7.60214,2.0830011367798,4.94099998474125
GDOR,6983.0,3.1612,0.00535,1.06232855,978.00326,3.16383782,7.5368,1.4700002670288104,0.0609998703002894
MISC,4045.0,5.03503,0.0203,11.1891175,2466.08478,0.10407107,7.52619,3.616999626159601,2.9370002746581587
ED,4189.0,-0.14486,0.00779,0.17803497,216.09881,0.35610424,11.78585,3.1280002593994,4.19699954986568
ED,5849.0,-0.04456,0.01008,0.37354828,120.15916,0.37333196,13.52289,1.3909997940062997,5.61999988555905
DCEP,3383.0,0.55534,0.01417,2.55354294,636.75608,5.09022709,9.64155,4.777000427246101,1.209000587463379
GDOR,4765.0,5.78344,0.00851,0.61577449,846.25653,1.723477,6.62088,2.3739995956420987,4.86900043487552
DCEP,6753.0,0.29393,0.00562,3.09262422,1400.22703,6.18937986,9.36578,0.7790002822875994,2.15999984741206
RR,6974.0,21.00976,0.15689,0.61577451,3011.50671,0.61468223,8.50832,1.0690002441406,3.24000072479244
DCEP,5595.0,2.15964,0.04136,2.92985453,4962.19987,2.93263629,8.55749,1.6090002059936983,3.851000785827619
MISC,5464.0,0.4732,0.00266,13.916504,724.74484,0.10409945,8.15577,1.7629995346069816,0.8070001602172798
DSCT,6794.0,2.54549,0.00921,0.10106615,13.41477,0.18333328,8.98781,1.0220003128050994,2.77200031280522
DCEP,6283.0,2.24723,0.05007,4.48929323,3066.63799,8.95036074,10.13543,1.1499996185303,3.8340005874633984
EC,5169.0,2.01297,0.03587,0.13744804,3486.49167,0.13738549,9.65489,1.965999603271399,4.138999938964879
RR,5683.0,1.6918,0.03542,0.73632296,621.59794,0.73652765,9.08672,1.6570005416869993,4.84100055694584
ED,6665.0,2.4731,0.03899,0.80210395,748.06768,1.59979987,11.67542,1.2730007171631,2.8699998855591016
DCEP,3368.0,0.95913,0.0175,2.7833618,1688.17059,13.916809,9.02899,5.031999588012701,1.118999481201099
MISC,3948.0,3.48447,0.01016,14.64901579,3254.44452,13.916565,8.67218,3.451000213623031,2.50099992752076
EC,5917.0,7.87863,0.0244,0.1458753,12223.78705,0.14577198,11.09799,1.4519996643066992,3.898000717163111
CST,5380.0,0.37508,0.0062,14.64901579,758.58715,13.916565,9.56175,2.0369997024537003,1.47299957275394
ED,6569.0,2.8654,0.07546,0.45702805,2318.986,0.91443479,10.94594,0.9910001754761008,5.105999946594199
EC,5612.0,0.0303,0.02182,0.13792368,333.38933,0.27581303,10.22429,1.5959987640380984,6.266000747680659
ED,4852.0,0.48644,0.00733,0.81383064,118.08508,0.8142401,10.97584,2.3150005340577007,1.5959997177123917
ED,8265.0,-0.09781,0.00712,0.67079998,40.13003,0.6722844,13.69098,0.3599996566772994,4.1300001144409
RR,5702.0,0.26736,0.00387,0.57269564,1510.60393,0.57258283,10.41989,1.6350002288818004,1.40200042724606
MISC,3875.0,11.5743,0.01526,12.10152,2807.04853,0.10426175,7.59679,3.661999702453599,3.6440000534057297
DSCT,7028.0,6.2488,0.00452,0.14972098,1681.86518,0.14968703,8.74071,0.9250001907348596,0.0450000762939497
MISC,2776.0,23.68536,0.05153,14.64895105,1929.16215,0.10409945,7.94993,7.03399944305416,2.24600005149841
MISC,5824.0,4.39857,0.03415,13.916809,1850.074,0.10409947,8.10794,1.7080001831055007,2.9860000610351705
EC,4241.0,1.958,0.03062,0.15234268,4666.8438,0.30473534,11.30521,3.1590003967285,3.88199996948239
DCEP,5977.0,0.45149,0.00644,3.61475558,1907.78291,7.31811515,9.13773,1.6169996261597,1.6450004577636896
RR,6502.0,3.6847,0.09075,0.57986704,2103.31807,0.57919483,8.92204,1.0269994735716992,5.32500076293943
RR,6867.0,5.09785,0.06112,0.59855931,3284.89424,0.59997769,9.89082,1.1649999618530007,3.94200038909913
CST,4965.0,0.74599,0.00262,10.70500308,6457.38567,10.89407437,11.33511,2.16199970245359,0.3480005264282297
RR,5034.0,0.51365,0.00907,0.66427227,773.23881,0.66566484,8.21461,2.1829996109009,2.93499946594234
ED,4710.0,2.66244,0.03262,0.2668553,1750.04085,0.53445311,11.88987,2.4370002746582013,2.95699977874753
MISC,2844.0,33.15187,0.07003,14.64901579,3741.80364,0.10420759,8.30322,6.729000091552761,2.09400010108947
RR,6903.0,2.25429,0.06119,0.37433034,1648.95393,0.37403541,8.76226,0.8240003585816016,5.88199996948245
DSCT,5186.0,-0.0715,0.00222,0.11763739,1235.76501,0.11765043,8.79133,1.9499998092650996,2.37100028991696
EC,5464.0,0.72715,0.02554,0.14523627,1419.54832,0.14524326,9.89918,1.7120008468627983,5.814999580383301
